うさかながすきです,お魚が好きです
おんてんのまえにたつ,運転の前に立つ
うねがいがあります,お願いがあります
おりきれの商品が多い,売り切れの商品が多い
うみやげをかうつもり,お土産を買うつもり
おみやげをかおつもり,お土産を買うつもり
おつくしいはらっぱであそぶ,美しい原っぱで遊ぶ
ううちでまってるよ,お家で待ってるよ
おおちでまってるよ,お家で待ってるよ
おんどうかいが楽しみです,運動会が楽しみです
うみせであたらしいふくをかった,お店で新しい服を買った
おしろのいすはあいてますか,後ろの椅子は空いてますか
うもいでをはなすのがたのしい,思い出を話すのが楽しい
おちのにわにはかぼちゃがある,家の庭にはかぼちゃがある
うせんべいはたのしいおやつです,お煎餅は楽しいおやつです
うけたまわってうります,承っております
おけたまわっております,承っております
うもちをのこさずたべる,お餅を残さず食べる
おもちをのこさづたべる,お餅を残さず食べる
おしろにまいこさんがいるぞ,後ろに舞子さんがいるぞ
ういしいスイーツをたべたい,美味しいスイーツを食べたい
おつしえをかざっている,写し絵を飾っている
ううちにかえりたいな,お家に帰りたいな
おおちにかえりたいな,お家に帰りたいな
うえきばちにうはながさいています,植木鉢にお花が咲いています
おえきばちにおはながさいています,植木鉢にお花が咲いています
うかねがほしい,お金が欲しい
おごかないしごとがある,動かない仕事がある
うひさまがかがやいている,お日様が輝いている
おさぎのようにとぶのがすき,兎のように飛ぶのが好き
うちついてかんがえよう,落ち着いて考えよう
おちついてかんがえよお,落ち着いて考えよう
うしゃべりがたのしいです,お喋りが楽しいです
おみのさちをたべたい,海の幸を食べたい
おなじがすずしくかんじる,うなじが涼しく感じる
うなぢがすずしくかんじる,うなじが涼しく感じる
うなじがすづしくかんじる,うなじが涼しく感じる
うしるこがたべたいな,お汁粉が食べたいな
おえにはながさく,上に花が咲く
うつきさまがとてもきれい,お月様がとても綺麗
おしがめをきった,牛が目を切った
うてつだいするからね,お手伝いするからね
おさぎもちいさい,兎も小さい
うんがくをきくのがすき,音楽を聞くのが好き
おまのしっぽをゆらす,馬の尻尾を揺らす
うえかきをするのがたのしい,絵描きをするのが楽しい
ういでよ、みんなであそぼうよ,おいでよ、みんなで遊ぼうよ
おいでよ、みんなであそぼおよ,おいでよ、みんなで遊ぼうよ
おちのねこはかわいい,家の猫は可愛い
うまつりにいくつもり,お祭りに行くつもり
おけつけでまっている,受付で待っている
うつりがどのくらいですか,お釣りがどのくらいですか
おりばにいくよ,売り場に行くよ
うひるごはんをたべます,お昼ご飯を食べます
おりきれていないかな,売り切れていないかな
うさけをのむよりもおちゃがすき,お酒を飲むよりもお茶が好き
おえきばちにかりんをうえた,植木鉢に花梨を植えた
うひさまをみているときがたのしい,お日様を見ている時が楽しい
おえであそぶのがいい,上で遊ぶのが良い
ううちをかざります,お家を飾ります
おおちをかざります,お家を飾ります
おつりかわるじかんにいる,移り変わる時間にいる
うつりかわるぢかんにいる,移り変わる時間にいる
うたんじょうびをたのしみにしてる,お誕生日を楽しみにしてる
おたんじょおびをたのしみにしてる,お誕生日を楽しみにしてる
おたんぢょうびをたのしみにしてる,お誕生日を楽しみにしてる
おみのなかでさがしてみよう,海の中で探してみよう
うにぎりがあったんだよ,お握りがあったんだよ
おちでのんびりするのがすき,家でのんびりするのが好き
うこづかいをわすれた,お小遣いを忘れた
おこずかいをわすれた,お小遣いを忘れた
おさぎのえがすきです,兎の絵が好きです
うてがみきょうしつのなかにある,お手紙教室の中にある
おてがみきょおしつのなかにある,お手紙教室の中にある
おれしいきもちでいっぱい,嬉しい気持ちでいっぱい
うおきなうみがうつくしい,大きな海が美しい
おおきなおみがうつくしい,大きな海が美しい
おわさをきいてしんぱいになった,噂を聞いて心配になった
うとうさんといっしょにでかける,お父さんと一緒に出かける
おとおさんといっしょにでかける,お父さんと一緒に出かける
うみのさちがとてもういしい,海の幸がとても美味しい
おみのさちがとてもおいしい,海の幸がとても美味しい
うかしをくれる友達,お菓子をくれる友達
おけたまわりました,承りました
うきなわにはゆうめいなすいかがある,沖縄には有名なスイカがある
おきなわにはゆおめいなすいかがある,沖縄には有名なスイカがある
いすのおえにすわります,椅子の上に座ります
うばあちゃんがまっている,おばあちゃんが待っている
うはなをかざっている,お花を飾っている
うすいかうりをかけます,薄い香りをかけます
おすいかおりをかけます,薄い香りをかけます
うむすびをつくるのがたのしい,おむすびを作るのが楽しい
うまいうかしがたくさんある,美味いお菓子がたくさんある
おまいおかしがたくさんある,美味いお菓子がたくさんある
うもいでをえがく,思い出を描く
おけるときのきもちがいい,受ける時の気持ちが良い
うさかながすきなこども,お魚が好きな子供
おつぼのかたちをみる,うつぼの形を見る
うともだちがまっている,お友達が待っている
おちにいるのがすきです,家にいるのが好きです
うちゃをのんで、なにをする,お茶を飲んで、何をする
おすいともりをさがそう,薄い点りを探そう
おえをみるとくもがぱあっと,上を見ると雲がぱあっと
うにくをたべるのがたのしい,お肉を食べるのが楽しい
おまのあしをいっぱいいれている,馬の足をいっぱい入れている
うまじないをとなえて,おまじないを唱えて
おまぢないをとなえて,おまじないを唱えて
おいろうがすきです,ういろうが好きです
うおきなバスをみかけた,大きなバスを見かけた
おちのかんばんはみんなのよ,家の看板はみんなのよ
うにぎりのあさごはんがよい,お握りの朝ごはんが良い
おんどうをすることでつかれはたまって,運動をすることで疲れは溜まって
うかしのあじがいつもおいしい,お菓子の味がいつも美味しい
おかしのあぢがいつもおいしい,お菓子の味がいつも美味しい
おえにすわったねこがかわいい,上に座った猫が可愛い
うにぎりのなかにたまごがある,お握りの中に卵がある
おさぎのすみかはたのしい,兎の住処は楽しい
うもしろいはなしをきいた,面白い話を聞いた
おたがすきでいろんなじかんにうたう,歌が好きでいろんな時間に歌う
うたがすきでいろんなぢかんにうたう,歌が好きでいろんな時間に歌う
うきなわのうみがあおい,沖縄の海が青い
おきなわのおみがあおい,沖縄の海が青い
おつりゆくきせつがすき,移りゆく季節が好き
うてらにいってみたい,お寺に行ってみたい
おんてんがきゅうにあらくなる,運転が急に荒くなる
うにぎりをひとつたべました,お握りを一つ食べました
おごくものにはいつもこうきしん,動くものにはいつも好奇心
うおきなすいかがうれしい,大きなスイカが嬉しい
おおきなすいかがおれしい,大きなスイカが嬉しい
うえにあるうもちゃをとりたい,上にあるおもちゃを取りたい
おえにあるおもちゃをとりたい,上にあるおもちゃを取りたい
うかあさんといっしょにおかえり,お母さんと一緒にお帰り
おちのいぬはいつもかわいい,家の犬はいつも可愛い
うかねがたまったらいいな,お金が貯まったらいいな
うさぎといっしょにうさんぽ,兎と一緒にお散歩
おさぎといっしょにおさんぽ,兎と一緒にお散歩
うひるねをしてやすむ,お昼寝をして休む
おまのしっぽをさわりたい,馬の尻尾を触りたい
うなかがすいてきたよ,お腹が空いてきたよ
おきわをもってうみへいく,浮き輪を持って海へ行く
うもいでをかきあつめたい,思い出を描き集めたい
おまくれんしゅうしたい,うまく練習したい
うひさまがしかりそう,お日様が叱りそう
おひさまがしかりそお,お日様が叱りそう
うらのうにわにさんぽする,裏の庭に散歩する
おらのおにわにさんぽする,裏の庭に散歩する
うおきなかたつむりがいた,大きなカタツムリがいた
おえにかざるうつわ,上に飾る器
ひつぢのむらがみえる,羊の村が見える
おすいふきんがかわいい,薄い布巾が可愛い
うみせでかんしゃくのこえ,お店で癇癪の声
うんがくがきこえるとしあわせ,音楽が聞こえると幸せ
おさぎのぽんぽんみたい,兎のぽんぽんみたい
うやつのじかんをたのしむ,おやつの時間を楽しむ
おやつのぢかんをたのしむ,おやつの時間を楽しむ
おじゃうじゃうしがそっている,うじゃうじゃ牛が添っている
うぢゃうじゃうしがそっている,うじゃうじゃ牛が添っている
うかあさんはつねにていねい,お母さんは常に丁寧
おたのしあげはかんたんだね,歌の仕上げは簡単だね
うそとであそぶのがたのしい,外で遊ぶのが楽しい
うつきあいしてくれるともだち,お付き合いしてくれる友達
おだるようなあつさをかんじる,うだるような暑さを感じる
うだるようなあつさをかんぢる,うだるような暑さを感じる
うはようのあいさつがすき,お早うの挨拶が好き
おはよおのあいさつがすき,お早うの挨拶が好き
おなぎをたべたらしあわせ,鰻を食べたら幸せ
うもてなしのこえをかける,おもてなしの声をかける
おめぼしはとてもすきだよ,梅干しはとても好きだよ
うこさまランチがもりつけされる,お子様ランチが盛り付けされる
うちのさかなはういしい,家の魚は美味しい
おちのさかなはおいしい,家の魚は美味しい
うみせでおかいものしたい,お店で買い物したい
うえきばちにかうをうつす,植木鉢に顔を映す
おえきばちにかおをうつす,植木鉢に顔を映す
うあついおちゃにしちゃう,お熱いお茶にしちゃう
おあついおちゃにしちゃお,お熱いお茶にしちゃう
おすやきのピザがあった,薄焼きのピザがあった
ういしさがやみつきになる,美味しさが病みつきになる
うっとうしいうてんきがつづく,うっとうしいお天気が続く
おっとうしいおてんきがつづく,うっとうしいお天気が続く
うっとうしいおてんきがつずく,うっとうしいお天気が続く
ういしいとおもっています,美味しいと思っています
おごくようすがたのしい,動く様子が楽しい
ういしそうなおかしがいっぱい,美味しそうなお菓子がいっぱい
おいしそおなおかしがいっぱい,美味しそうなお菓子がいっぱい
うんどうかいにはうもいでがある,運動会には思い出がある
おんどうかいにはおもいでがある,運動会には思い出がある
うかねをためるためには,お金を貯めるためには
おたがうまくなったらいい,歌が上手くなったらいい
うみやげにするつもり,お土産にするつもり
おえにあったひまわりがきれい,上にあったひまわりが綺麗
うとこのこがいつもあそぶばしょ,男の子がいつも遊ぶ場所
うえにいくつかうもちゃをのせる,上にいくつかおもちゃを乗せる
おえにいくつかおもちゃをのせる,上にいくつかおもちゃを乗せる
うろしやさんがきてた,卸屋さんが来てた
おれしそうなあかちゃんがいる,嬉しそうな赤ちゃんがいる
ういしいりょうり、まっているよ,美味しい料理、待っているよ
おいしいりょおり、まっているよ,美味しい料理、待っているよ
おちのいぬはとてもかわいい,家の犬はとても可愛い
うおきなくりがたくさんある,大きな栗がたくさんある
おえにかざるつもりです,上に飾るつもりです
うちついてかんがえることができる,落ち着いて考えることができる
おつろうじかんのなかで,移ろう時間の中で
うつろうぢかんのなかで,移ろう時間の中で
うにぎりをたべてからあそぶ,お握りを食べてから遊ぶ
うちのねこがかうをみせてきた,家の猫が顔を見せてきた
おちのねこがかおをみせてきた,家の猫が顔を見せてきた
うんがくをきいてすごすのがすき,音楽を聞いて過ごすのが好き
うねうねとうよぐなまず,うねうねと泳ぐナマズ
おねうねとおよぐなまず,うねうねと泳ぐナマズ
うねうねとおよぐなまづ,うねうねと泳ぐナマズ
うかしやひまわりをかわいがる,お菓子やひまわりを可愛がる
あのひとのすきなうちょこです,あの人の好きなおちょこです
うおきなゆめをもつことはすてきなことだから,お大きな夢を持つことは素敵なことだから
うもいでをかざっていこう,思い出を飾って行こう
おもいでをかざっていこお,思い出を飾って行こう
うれしいとうもいながらつくる,嬉しいと思いながら作る
おれしいとおもいながらつくる,嬉しいと思いながら作る
うじょうずにあそんでるね,お上手に遊んでるね
おじょおずにあそんでるね,お上手に遊んでるね
おぢょうずにあそんでるね,お上手に遊んでるね
おじょうづにあそんでるね,お上手に遊んでるね
おえにそびえてみえるしろ,上にそびえて見える城
うまくうかしをつくるなあ,上手くお菓子を作るなあ
おまくおかしをつくるなあ,上手くお菓子を作るなあ
うんせんでしばらくあんせいにする,温泉でしばらく安静にする
ういしいたいやきがたべたかった,美味しいたい焼きが食べたかった
おつしものでふわふわ,映し物でフワフワ
おえにあるととてもきれい,上にあるととても綺麗
ういしいみかんがあった,美味しいみかんがあった
うおきなさんかくのいえがほしい,大きな三角の家が欲しい
おさぎがにんじんをたべている,兎が人参を食べている
うさぎがにんぢんをたべている,兎が人参を食べている
ういしいそばをたべたいです,美味しいそばを食べたいです
うたううとしたがわすれてしまった,歌おうとしたが忘れてしまった
おたおうとしたがわすれてしまった,歌おうとしたが忘れてしまった
うもちゃのくるまがよくうごく,おもちゃの車がよく動く
おもちゃのくるまがよくおごく,おもちゃの車がよく動く
おえのほうがすきだといった,上の方が好きだと言った
うもてのはながひらいてきた,表の花が開いてきた
おんどうがすんだあとのさっぱりかん,運動が済んだあとのさっぱり感
うふろにはいってさっぱりする,お風呂に入ってさっぱりする
おつくしいばしょでねむりたい,美しい場所で眠りたい
うばあちゃんがつくったおかし,お婆ちゃんが作ったお菓子
おみのさちをたべるのがだいすき,海の幸を食べるのが大好き
うおきなまるいすいかがほしい,大きな丸いスイカが欲しい
おわさをきいてわくわくしている,噂を聞いてワクワクしている
うしゃべりをしていたらじかんがたった,お喋りをしていたら時間が経った
おしゃべりをしていたらぢかんがたった,お喋りをしていたら時間が経った
おまいりょうりをはつめいする,うまい料理を発明する
うしらせがくるのをまっている,お知らせが来るのを待っている
おつりかけのゆうひがきれい,移りかけの夕日が綺麗
うおきなかぶをうえた,大きなカブを植えた
おおきなかぶをおえた,大きなカブを植えた
おみをみながらすごすひ,海を見ながら過ごす日
うやすみのまえにねる,お休みの前に寝る
おわさがひろがっているようだ,噂が広がっているようだ
うすすめのえいががある,お勧めの映画がある
おくものしろいかげがうつる,雲の白い影が映る
うしろはみどりにかこまれている,お城は緑に囲まれている
おなぎをたべるとしあわせ,鰻を食べると幸せ
うたんじょうびをみんなでいわう,お誕生日をみんなで祝う
おたんじょおびをみんなでいわう,お誕生日をみんなで祝う
おたんぢょうびをみんなでいわう,お誕生日をみんなで祝う
うじゃましますとあいさつする,お邪魔しますとの挨拶する
おぢゃましますとあいさつする,お邪魔しますとの挨拶する
おらめんもたのしいです,裏面も楽しいです
うふろのせんをあらいます,お風呂の栓を洗います
うえきばちにうはながさきました,植木鉢にお花が咲きました
おえきばちにおはながさきました,植木鉢にお花が咲きました
うかあさんがあたたかい,お母さんが暖かい
うみせではなをうる,お店で花を売る
おみせではなをおる,お店で花を売る
うもいでをいとおしむ,思い出を愛おしむ
おまれかわることをしんじている,生まれ変わることを信じている
うまれかわることをしんぢている,生まれ変わることを信じている
うかねをためてる,お金を貯めてる
うれしいかうをみている,嬉しい顔を見ている
おれしいかおをみている,嬉しい顔を見ている
うみせでおかしをかう,お店でお菓子を買う
おみせでおかしをかお,お店でお菓子を買う
おつりかけのあさひがすき,移りかけの朝日が好き
うにぎりにはさけをいれる,お握りに鮭を入れる
うるういをかんじるこのけしき,潤いを感じるこの景色
おるおいをかんじるこのけしき,潤いを感じるこの景色
うるおいをかんぢるこのけしき,潤いを感じるこの景色
うおきなくりがみえてきた,大きな栗が見えてきた
おつくしいゆうひがしずむ,美しい夕日が沈む
うつくしいゆうひがしづむ,美しい夕日が沈む
おさぎがあまりすきではない,うさぎがあまり好きではない
おえにのぼるのがすき,上に登るのが好き
うそれずにでかける,恐れずに出かける
おそれづにでかける,恐れずに出かける
おたをうたうのがたのしい,歌を歌うのが楽しい
うもいをかたちにする,思いを形にする
おえはいつもあかるい,上はいつも明るい
うじゃましましたのあいさつがききたい,お邪魔しましたの挨拶が聞きたい
おぢゃましましたのあいさつがききたい,お邪魔しましたの挨拶が聞きたい
おちのつきあいがはじまった,家の付き合いが始まった
うちのつきあいがはぢまった,家の付き合いが始まった
うかしをつくってあそぶ,お菓子を作って遊ぶ
おえにはひつじがいる,上には羊がいる
うえにはひつぢがいる,上には羊がいる
うみせのなかでかうものをさがす,お店の中で買うものを探す
おみせのなかでかおものをさがす,お店の中で買うものを探す
おまれたこたちがあつまった,生まれた子たちが集まった
うちついたきもちでいられる,落ち着いた気持ちでいられる
おれしいよるにかいますか,嬉しい夜に買いますか
うもいでをたくさんしょうかいしてください,思い出をたくさん紹介してください
おもいでをたくさんしょおかいしてください,思い出をたくさん紹介してください
うえにのったうもちゃをさがす,上に乗ったおもちゃを探す
おえにのったおもちゃをさがす,上に乗ったおもちゃを探す
うやつをつくりたい,おやつを作りたい
おまがひるねしている,馬が昼寝している
うつまみをたべるじかんがすき,おつまみを食べる時間が好き
おつまみをたべるぢかんがすき,おつまみを食べる時間が好き
どおくつのなかをたんけんする,洞窟の中を探検する
うみずがさわやかにみえる,お水が爽やかに見える
おみづがさわやかにみえる,お水が爽やかに見える
おたってあそぶことがたのしい,歌って遊ぶことが楽しい
うしるこがあたたかくておいしい,お汁粉が温かくて美味しい
おえのかたはあたたかいです,上の方は暖かいです
うふろにはいったらきもちがよい,お風呂に入ったら気持ちが良い
うたのうかげでよろこびがうまれた,歌のおかげで喜びが生まれた
おたのおかげでよろこびがうまれた,歌のおかげで喜びが生まれた
ういしいみずをのむとほっとする,美味しい水を飲むとほっとする
おいしいみづをのむとほっとする,美味しい水を飲むとほっとする
おすいふくをきるとさわやか,薄い服を着ると爽やか
うもちゃであそんでいるとたのしい,おもちゃで遊んでいると楽しい
うみがうちついていてとてもきれい,海が落ち着いていてとても綺麗
おみがおちついていてとてもきれい,海が落ち着いていてとても綺麗
うおきなせんぷうきがまわっている,大きな扇風機が回っている
おおきなせんぷおきがまわっている,大きな扇風機が回っている
おえからのぞいてみたい,上から覗いてみたい
うみせのまえでまちあわせ,お店の前で待ち合わせ
おみのさちをかいにいこう,海の幸を買いに行こう
うおきなあめがふってきた,大きな雨が降ってきた
おきわをかかえてうみにはいりたい,浮き輪を抱えて海に入りたい
うふろがとてもきもちいいです,お風呂がとても気持ちいいです
おれしいことをみんなでわかちあう,嬉しいことをみんなで分かち合う
うとうさんがあたたかいえがお,お父さんが暖かい笑顔
おとおさんがあたたかいえがお,お父さんが暖かい笑顔
おすいゆうひがしずんでいる,薄い夕日が沈んでいる
うすいゆうひがしづんでいる,薄い夕日が沈んでいる
うみやげはなにをかってこよう,お土産は何を買ってこよう
おみやげはなにをかってこよお,お土産は何を買ってこよう
おつくしいあさひがさしている,美しい朝日が差している
うかねをためてりょこうする,お金を貯めて旅行する
おかねをためてりょこおする,お金を貯めて旅行する
おきわにあながあいているようにみえる,浮き輪に穴が開いたように見える
うおきなすいかをもってかえる,大きなスイカを持って帰る
おさぎがかけあがるのがみたい,兎が駆け上がるのが見たい
ういしいごはんをつくりたい,美味しいご飯を作りたい
おたをうたうときがたのしい,歌を歌うときが楽しい
うもいでをふりかえるのがすき,思い出を振り返るのが好き
うみべのあいだをうよぐ,海辺の間を泳ぐ
おみべのあいだをおよぐ,海辺の間を泳ぐ
うかしをつくるためのざいりょう,お菓子を作るための材料
おかしをつくるためのざいりょお,お菓子を作るための材料
おえにあるはなをかざりたい,上にある花を飾りたい
うもちゃがたくさんあるところ,おもちゃがたくさんあるところ
おれしいことがあったりする,嬉しいことがあったりする
うみそをつかったりょうりがたべたい,お味噌を使った料理が食べたい
おみそをつかったりょおりがたべたい,お味噌を使った料理が食べたい
おたがうまくきこえるとしあわせ,歌が上手く聞こえると幸せ
うかあさんのあたたかいこえ,お母さんの温かい声
おみであそぶときのたのしさ,海で遊ぶときの楽しさ
うはなをかざるときのきもち,お花を飾るときの気持ち
おつくしいまちでじかんをすごす,美しい街で時間を過ごす
うつくしいまちでぢかんをすごす,美しい街で時間を過ごす
ういしいおさかなをたべにいく,美味しいお魚を食べに行く
おえでとぶとりをみるのがすき,上で飛ぶ鳥を見るのが好き
うみせでかいものをするのはたのしい,お店で買い物をするのは楽しい
おらにあるみずうみがすき,裏にある湖が好き
うらにあるみづうみがすき,裏にある湖が好き
うふろにはいるときはあたたかい,お風呂に入るときは暖かい
おみをみているとりらっくすする,海を見ているとリラックスする
うさらのうえにあんこがのっています,お皿の上にあんこが載っています
おさらのおえにあんこがのっています,お皿の上にあんこが載っています
おえきばちのまつがきれい,植木鉢の松が綺麗
うもいでのなかのあのことがなつかしい,思い出の中のあのことが懐かしい
おしのすがたがみえる,牛の姿が見える
うしゃべりするのがたのしい,お喋りするのが楽しい
おんてんしながらきょくをきく,運転しながら曲を聞く
うたんじょうびをいわってくれる,お誕生日を祝ってくれる
おたんじょおびをいわってくれる,お誕生日を祝ってくれる
おたんぢょうびをいわってくれる,お誕生日を祝ってくれる
おつくしいけしきがひろがっている,美しい景色が広がっている
うみやげのがくしゃのほんがたのしい,お土産の学者の本が楽しい
おたいながらほたるをみつける,歌いながら蛍を見つける
うおきなまかろんがきらきらしている,大きなマカロンがキラキラしている
おずまきのあなにいくのがこわい,うずまきの穴に行くのが怖い
うづまきのあなにいくのがこわい,うずまきの穴に行くのが怖い
ういしいものをつくりたいの,美味しい物を作りたいの
おわさのとなりのふるさと,噂の隣のふるさと
うじいちゃんがつくったくり,お爺ちゃんが作った栗
おぢいちゃんがつくったくり,お爺ちゃんが作った栗
おたがきこえてくるのがすき,歌が聞こえてくるのが好き
うふろにあたまをつけるのがめんどうくさい,お風呂に頭をつけるのが面倒くさい
おふろにあたまをつけるのがめんどおくさい,お風呂に頭をつけるのが面倒くさい
おまのあしがとうもろこしをたべている,馬の足がとうもろこしを食べている
うおきなあさがおがさいた,大きな朝顔が咲いた
おまのくびわをさわる,馬の首輪を触る
うみずがつめたくておいしい,お水が冷たくて美味しい
おみづがつめたくておいしい,お水が冷たくて美味しい
おえのきがやさしいかんじ,上の木が優しい感じ
うえのきがやさしいかんぢ,上の木が優しい感じ
ういしいかきごおりがたべたい,美味しいかき氷が食べたい
おらをながめるきゅうじつがすき,裏を眺める休日が好き
うらをながめるきゅうぢつがすき,裏を眺める休日が好き
ううちでのんびりしていたい,お家でのんびりしていたい
おおちでのんびりしていたい,お家でのんびりしていたい
おたがきかせてくれるのがたのしい,歌が聞かせてくれるのが楽しい
うまつりのときにあそびにいく,お祭りの時に遊びに行く
おすいぬののこたつにあたる,薄い布のこたつに当たる
うおきなせいざをみつけた,大きな星座を見つけた
おたをきくのがしあわせ,歌を聞くのが幸せ
うしるこにあんこがたっぷり,お汁粉にあんこがたっぷり
うるさいすずめがうおあばれ,うるさい雀が大暴れ
おるさいすずめがおおあばれ,うるさい雀が大暴れ
うるさいすづめがおおあばれ,うるさい雀が大暴れ
うろしやまでとおりすぎる,卸屋まで通り過ぎる
おみのそこにひっそりつかっている,海の底にひっそりつかっている
おえにかざってほしい,上に飾って欲しい
うもいおもいのぜったいにあまいおかし,思い思いの絶対に甘いお菓子
うおきなくりがころがっている,大きな栗が転がっている
おみでうみねこのこえがきこえる,海でうみねこの声が聞こえる
ういしいぱんがやきあがった,美味しいパンが焼き上がった
おつくしいふうけいをみたい,美しい風景を見たい
うかあさんといっしょにあそぶ,お母さんと一緒に遊ぶ
おたごえがかすかにきこえる,歌声がかすかに聞こえる
うみせでふうせんをかう,お店で風船を買う
おみせでふおせんをかう,お店で風船を買う
おえのほうがすきだからかざる,上の方が好きだから飾る
うもいでのなかのともだち,思い出の中の友達
おれしいはなびがあがる,嬉しい花火が上がる
うてがみをかいているところ,お手紙を書いているところ
おきわにのってみずにはいる,浮き輪に乗って水に入る
うきわにのってみづにはいる,浮き輪に乗って水に入る
うおきなとりがとんでいる,大きな鳥が飛んでいる
おさぎがきゃんぱすにすわっている,兎がキャンパスに座っている
うかしをつくるためにいそがしい,お菓子を作るために忙しい
おえにのぼってみてみたい,上に登って見てみたい
うみやげにするためのかざり,お土産にするための飾り
おすいあかりがともっている,薄い明かりが灯っている
うしゃべりがたのしすぎてやめられない,お喋りが楽しすぎてやめられない
おふふとわらうことがすき,うふふと笑うことが好き
うはなさんがさいている,お花さんが咲いている
おしろからそっとついていく,後ろからそっとついていく
うまつりのたのしさをかんじる,お祭りの楽しさを感じる
おまつりのたのしさをかんぢる,お祭りの楽しさを感じる
おえからみるけしきがすき,上から見る景色が好き
うーい、いっしょにあそぼうよ,おーい、一緒に遊ぼうよ
おーい、いっしょにあそぼおよ,おーい、一緒に遊ぼうよ
うよくはほんとうにうもしろい,右翼は本当に面白い
およくはほんとうにおもしろい,右翼は本当に面白い
うおきさをくらべるとおもしろい,大きさを比べると面白い
おみのかぜがきもちいい,海の風が気持ちいい
うみせでいろいろなおかしをみる,お店でいろいろなお菓子を見る
おたうたいのこころをしる,歌うたいの心を知る
うおきなぼうしをかぶったこ,大きな帽子を被った子
おおきなぼおしをかぶったこ,大きな帽子を被った子
おちゅうのかなたをみあげる,宇宙の彼方を見上げる
うかしがわらわらとならぶ,お菓子がわらわらと並ぶ
おろこがきれいにあらわれる,鱗が綺麗に現れる
うともだちにあったひがなつかしい,お友達に会った日が懐かしい
おつくしいはるにさくはな,美しい春に咲く花
うばあちゃんといっしょにでかける,お婆ちゃんと一緒に出かける
おえをみあげて、あかいつきにかんどうする,上を見上げて、赤い月に感動する
うまつりのかんじがすき,お祭りの感じが好き
おまつりのかんぢがすき,お祭りの感じが好き
