おさかながすきです,お魚が好きです
うくものしろいかげがうつる,雲の白い影が映る
おしろはみどりにかこまれている,お城は緑に囲まれている
うなぎをたべるとしあわせ,うなぎを食べると幸せ
おたんじょうびをみんなでいわう,お誕生日をみんなで祝う
おじゃましますとあいさつする,お邪魔しますとの挨拶する
うらめんもたのしいです,裏面も楽しいです
おふろのせんをあらいます,お風呂の栓を洗います
うえきばちにおはながさきました,植木鉢にお花が咲きました
おかあさんがあたたかい,お母さんが暖かい
おみせではなをうる,お店で花を売る
おもいでをいとおしむ,思い出を愛おしむ
うまれかわることをしんじている,生まれ変わることを信じている
おかねをためてる,お金を貯めてる
うれしいかおをみている,嬉しい顔を見ている
おみせでおかしをかう,お店でお菓子を買う
うつりかけのあさひがすき,移りかけの朝日が好き
おにぎりにはさけをいれる,お握りに鮭を入れる
うるおいをかんじるこのけしき,潤いを感じるこの景色
おおきなくりがみえてきた,大きな栗が見えてきた
うつくしいゆうひがしずむ,美しい夕日が沈む
うさぎがあまりすきではない,うさぎがあまり好きではない
うえにのぼるのがすき,上に登るのが好き
おそれずにでかける,恐れずに出かける
うたをうたうのがたのしい,歌を歌うのが楽しい
おもいをかたちにする,思いを形にする
うえはいつもあかるい,上はいつも明るい
おじゃましましたのあいさつがききたい,お邪魔しましたの挨拶が聞きたい
うちのつきあいがはじまった,家の付き合いが始まった
おかしをつくってあそぶ,お菓子を作って遊ぶ
うえにはひつじがいる,上には羊がいる
おみせのなかでかうものをさがす,お店の中で買うものを探す
うまれたこたちがあつまった,生まれた子たちが集まった
おちついたきもちでいられる,落ち着いた気持ちでいられる
うれしいよるにかいますか,嬉しい夜に買いますか
おもいでをたくさんしょうかいしてください,思い出をたくさん紹介してください
うえにのったおもちゃをさがす,上に乗ったおもちゃを探す
おやつをつくりたい,おやつを作りたい
うまがひるねしている,馬が昼寝している
おつまみをたべるじかんがすき,おつまみを食べる時間が好き
どうくつのなかをたんけんする,洞窟の中を探検する
おみずがさわやかにみえる,お水が爽やかに見える
うたってあそぶことがたのしい,歌って遊ぶことが楽しい
おしるこがあたたかくておいしい,お汁粉が温かくて美味しい
うえのかたはあたたかいです,上の方は暖かいです
おふろにはいったらきもちがよい,お風呂に入ったら気持ちが良い
うたのおかげでよろこびがうまれた,歌のおかげで喜びが生まれた
おいしいみずをのむとほっとする,美味しい水を飲むとほっとする
うすいふくをきるとさわやか,薄い服を着ると爽やか
おもちゃであそんでいるとたのしい,おもちゃで遊んでいると楽しい
うみがおちついていてとてもきれい,海が落ち着いていてとても綺麗
おおきなせんぷうきがまわっている,大きな扇風機が回っている
うえからのぞいてみたい,上から覗いてみたい
おみせのまえでまちあわせ,お店の前で待ち合わせ
うみのさちをかいにいこう,海の幸を買いに行こう
おおきなあめがふってきた,大きな雨が降ってきた
うきわをかかえてうみにはいりたい,浮き輪を抱えて海に入りたい
おふろがとてもきもちいいです,お風呂がとても気持ちいいです
うれしいことをみんなでわかちあう,嬉しいことをみんなで分かち合う
おとうさんがあたたかいえがお,お父さんが暖かい笑顔
うすいゆうひがしずんでいる,薄い夕日が沈んでいる
おみやげはなにをかってこよう,お土産は何を買ってこよう
うつくしいあさひがさしている,美しい朝日が差している
おかねをためてりょこうする,お金を貯めて旅行する
うきわにあながあいているようにみえる,浮き輪に穴が開いたように見える
おおきなすいかをもってかえる,大きなスイカを持って帰る
うさぎがかけあがるのがみたい,うさぎが駆け上がるのが見たい
おいしいごはんをつくりたい,美味しいご飯を作りたい
うたをうたうときがたのしい,歌を歌うときが楽しい
おもいでをふりかえるのがすき,思い出を振り返るのが好き
うみべのあいだをおよぐ,海辺の間を泳ぐ
おかしをつくるためのざいりょう,お菓子を作るための材料
うえにあるはなをかざりたい,上にある花を飾りたい
おもちゃがたくさんあるところ,おもちゃがたくさんあるところ
うれしいことがあったりする,嬉しいことがあったりする
おみそをつかったりょうりがたべたい,お味噌を使った料理が食べたい
うたがうまくきこえるとしあわせ,歌が上手く聞こえると幸せ
おかあさんのあたたかいこえ,お母さんの温かい声
うみであそぶときのたのしさ,海で遊ぶときの楽しさ
おはなをかざるときのきもち,お花を飾るときの気持ち
うつくしいまちでじかんをすごす,美しい街で時間を過ごす
おいしいおさかなをたべにいく,美味しいお魚を食べに行く
うえでとぶとりをみるのがすき,上で飛ぶ鳥を見るのが好き
おみせでかいものをするのはたのしい,お店で買い物をするのは楽しい
うらにあるみずうみがすき,裏にある湖が好き
おふろにはいるときはあたたかい,お風呂に入るときは暖かい
うみをみているとりらっくすする,海を見ているとリラックスする
おさらのうえにあんこがのっています,お皿の上にあんこが載っています
うえきばちのまつがきれい,植木鉢の松が綺麗
おもいでのなかのあのことがなつかしい,思い出の中のあのことが懐かしい
うしのすがたがみえる,牛の姿が見える
おしゃべりするのがたのしい,お喋りするのが楽しい
うんてんしながらきょくをきく,運転しながら曲を聞く
おたんじょうびをいわってくれる,お誕生日を祝ってくれる
うつくしいけしきがひろがっている,美しい景色が広がっている
おみやげのがくしゃのほんがたのしい,お土産の学者の本が楽しい
うたいながらほたるをみつける,歌いながら蛍を見つける
おおきなまかろんがきらきらしている,大きなマカロンがキラキラしている
うずまきのあなにいくのがこわい,うずまきの穴に行くのが怖い
おいしいものをつくりたいの,美味しい物を作りたいの
うわさのとなりのふるさと,噂の隣のふるさと
おじいちゃんがつくったくり,お爺ちゃんが作った栗
うたがきこえてくるのがすき,歌が聞こえてくるのが好き
おふろにあたまをつけるのがめんどうくさい,お風呂に頭をつけるのが面倒くさい
うまのあしがとうもろこしをたべている,馬の足がとうもろこしを食べている
おおきなあさがおがさいた,大きな朝顔が咲いた
うまのくびわをさわる,馬の首輪を触る
おみずがつめたくておいしい,お水が冷たくて美味しい
うえのきがやさしいかんじ,上の木が優しい感じ
おいしいかきごおりがたべたい,美味しいかき氷が食べたい
うらをながめるきゅうじつがすき,裏を眺める休日が好き
おうちでのんびりしていたい,お家でのんびりしていたい
うたがきかせてくれるのがたのしい,歌が聞かせてくれるのが楽しい
おまつりのときにあそびにいく,お祭りの時に遊びに行く
うすいぬののこたつにあたる,薄い布のこたつに当たる
おおきなせいざをみつけた,大きな星座を見つけた
うたをきくのがしあわせ,歌を聞くのが幸せ
おしるこにあんこがたっぷり,お汁粉にあんこがたっぷり
うるさいすずめがおおあばれ,うるさい雀が大暴れ
おろしやまでとおりすぎる,卸屋まで通り過ぎる
うみのそこにひっそりつかっている,海の底にひっそりつかっている
うえにかざってほしい,上に飾って欲しい
おもいおもいのぜったいにあまいおかし,思い思いの絶対に甘いお菓子
おおきなくりがころがっている,大きな栗が転がっている
うみでうみねこのこえがきこえる,海でうみねこの声が聞こえる
おいしいぱんがやきあがった,美味しいパンが焼き上がった
うつくしいふうけいをみたい,美しい風景を見たい
おかあさんといっしょにあそぶ,お母さんと一緒に遊ぶ
うたごえがかすかにきこえる,歌声がかすかに聞こえる
おみせでふうせんをかう,お店で風船を買う
うえのほうがすきだからかざる,上の方が好きだから飾る
おもいでのなかのともだち,思い出の中の友達
うれしいはなびがあがる,嬉しい花火が上がる
おてがみをかいているところ,お手紙を書いているところ
うきわにのってみずにはいる,浮き輪に乗って水に入る
おおきなとりがとんでいる,大きな鳥が飛んでいる
うさぎがきゃんぱすにすわっている,うさぎがキャンパスに座っている
おかしをつくるためにいそがしい,お菓子を作るために忙しい
うえにのぼってみてみたい,上に登って見てみたい
おみやげにするためのかざり,お土産にするための飾り
うすいあかりがともっている,薄い明かりが灯っている
おしゃべりがたのしすぎてやめられない,お喋りが楽しすぎてやめられない
うふふとわらうことがすき,うふふと笑うことが好き
おはなさんがさいている,お花さんが咲いている
うしろからそっとついていく,後ろからそっとついていく
おまつりのたのしさをかんじる,お祭りの楽しさを感じる
うえからみるけしきがすき,上から見る景色が好き
おーい、いっしょにあそぼうよ,おーい、一緒に遊ぼうよ
うよくはほんとうにおもしろい,右翼は本当に面白い
おおきさをくらべるとおもしろい,大きさを比べると面白い
うみのかぜがきもちいい,海の風が気持ちいい
おみせでいろいろなおかしをみる,お店でいろいろなお菓子を見る
うたうたいのこころをしる,歌うたいの心を知る
おおきなぼうしをかぶったこ,大きな帽子を被った子
うちゅうのかなたをみあげる,宇宙の彼方を見上げる
おかしがわらわらとならぶ,お菓子がわらわらと並ぶ
うろこがきれいにあらわれる,鱗が綺麗に現れる
おともだちにあったひがなつかしい,お友達に会った日が懐かしい
うつくしいはるにさくはな,美しい春に咲く花
おばあちゃんといっしょにでかける,お婆ちゃんと一緒に出かける
うえをみあげて、あかいつきにかんどうする,上を見上げて、赤い月に感動する
おまつりのかんじがすき,お祭りの感じが好き
うねりながらあそぶのがたのしい,うねりながら遊ぶのが楽しい
おうちでのんびりすごすのがすき,お家でのんびり過ごすのが好き
うたごえをきいているととてもいやされる,歌声を聞いているととても癒やされる
おかしとおちゃをたのしむひととき,お菓子とお茶を楽しむひととき
うすみどりいろのふるいやまみち,薄緑色の古い山道
おみせでみるあきのかざり,お店で見る秋の飾り
うたをきいてよろこぶ,歌を聞いて喜ぶ
おかしをつくるためにあつまる,お菓子を作るために集まる
うみのにおいがするとうれしい,海の匂いがすると嬉しい
おてがみをかくのがたのしい,お手紙を書くのが楽しい
うえでものをつくるひとがいる,上でものを作る人がいる
おおきなすいかをうえる,大きなスイカを植える
うすいかみがふくのにともなう,薄い紙が吹くのに伴う
おはなをいけるとおちつく,お花を生けると落ち着く
うきをえらんでつりをする,浮きを選んで釣りをする
おやつをたべるこどもたち,おやつを食べる子供たち
うえにみえるあさがすき,上に見える朝が好き
おみやげにたべものをもってくる,お土産に食べ物を持ってくる
うちのまえをとおりすぎる,家の前を通り過ぎる
おおきなぶどうをかごにいれる,大きなぶどうをかごに入れる
うえきはいつもみどり,植木はいつも緑
おもいでにひたるようにかいものをする,思い出に浸るように買い物をする
おおきなにんぎょうがかざってある,大きな人形が飾ってある
うみであそぶことがだいすき,海で遊ぶことが大好き
おいしいチーズがのったぴざ,美味しいチーズがのったピザ
うらにあるやまがきれい,裏にある山が綺麗
おはながさいているこうえん,花が咲いている公園
うつわにおいしそうなりょうりがのっていた,器に美味しそうな料理が載っていた
おかあさんといっしょにいくと楽しい,お母さんと一緒に行くと楽しい
うたをききながらゆったりすごす,歌を聞きながらゆったり過ごす
おみやげにするためのあんこ,お土産にするためのあんこ
うえにけしきがひろがる,上に景色が広がる
おもいでをかたりあうのがたのしい,思い出を語り合うのが楽しい
さいぼうのはたらきをかんじる,細胞の働きを感じる
おきにいりのぶんぶんごま,お気に入りのブンブンゴマ
うえのほうでかがやくつき,上の方で輝く月
おもちゃのくるまであそぶ,おもちゃの車で遊ぶ
うたごえがとおくからきこえる,歌声が遠くから聞こえる
おみせでかったあたらしいかばん,お店で買った新しいカバン
うしろからそっとささやく,後ろからそっと囁く
おまつりがのこしたおもいで,お祭りが残した思い出
うえにかさがかかっている,上に傘がかかっている
おいしいすいかをたべる,美味しいスイカを食べる
うけとりかたがどくとくなちちのかんせい,受け取り方が独特な父の感性
おさかながきれいにおよいでいる,魚が綺麗に泳いでいる
うちゅうのえいせいがきれい,宇宙の衛星が綺麗
おおきなあいすくりーむをたべる,大きなアイスクリームを食べる
うみのそばでのんびりする,海のそばでのんびりする
おとこのこがあそんでいる,男の子が遊んでいる
うたがとてもきれい,歌がとても綺麗
おうちにかえったときのあたたかさ,お家に帰った時の温かさ
うすあかりにかくれたもの,薄明かりに隠れたもの
おじいちゃんといっしょにでかける,おじいちゃんと一緒に出かける
うたごえがひびくこのば,歌声が響くこの場
うえをみあげるとほしがきらきら,上を見上げると星がキラキラ
おかしをたべるときのうれしさ,お菓子を食べるときの嬉しさ
うねりのあるかぜがふく,うねりのある風が吹く
おまつりでつくったけれどわすれた,お祭りで作ったけれど忘れた
うごくしぜんのなかでいきる,動く自然の中で生きる
おおきなやまがみえるからうれしい,大きな山が見えるから嬉しい
うたをうたうとこころがうきたつ,歌を歌うと心が浮き立つ
そとであそぶときのたのしさ,外で遊ぶときの楽しさ
うみのあさやけはとてもきれい,海の朝焼けはとても綺麗
おかしをつくってあそぶのがすき,お菓子を作って遊ぶのが好き
うえにあるせかいがみたい,上にある世界が見たい
おふろにはいってあたたまる,お風呂に入って温まる
うらのせんせいがとてもやさしい,裏の先生がとても優しい
おみやげをもってかえろうとする,お土産を持って帰ろうとする
うごくすがたをみるとわくわくする,動く姿を見るとワクワクする
おおきなねこがちかくにいる,大きな猫が近くにいる
うらがわからみるとまたちがう,裏側から見るとまた違う
おみせのちゅうしんでかざられている,お店の中心で飾られている
うえのほうからふってくるゆき,上の方から降ってくる雪
さかなをさがしてうみであそぶ,魚を探して海で遊ぶ
うすいももいろのさくらがさいている,薄い桃色の桜が咲いている
おもいでのあたたかいかおり,思い出の温かい香り
うたをうたうとしあわせをかんじる,歌を歌うと幸せを感じる
