おさかながすきです, お魚が好きです
うまくれんしゅうしたい, うまく練習したい
おひさまがしかりそう, お日様が叱りそう
うらのおにわにさんぽする, 裏の庭に散歩する
おおきなかたつむりがいた, 大きなカタツムリがいた
うえにかざるうつわ, 上に飾る器
おひつじのむらがみえる, お羊の村が見える
うすいふきんがかわいい, 薄い布巾が可愛い
おみせでかんしゃくのこえ, お店で完食の声
うたがいいひでてきた, 歌がいい日で来た
おんがくがきこえるとしあわせ, 音楽が聞こえると幸せ
うさぎのぽんぽんみたい, 兎のぽんぽんみたい
おやつのじかんをたのしむ, おやつの時間を楽しむ
うじゃうじゃうしがそっている, うじゃうじゃ牛が添っている
おかあさんはつねにていねい, お母さんは常に丁寧
うたのしあげはかんたんだね, 歌の仕上げは簡単だね
おそとであそぶのがたのしい, 外で遊ぶのが楽しい
おつきあいしてくれるともだち, お付き合いしてくれる友達
うだるようなあつさかんじる, うだるような暑さ感じる
おはようのあいさつがすき, お早うの挨拶が好き
うなぎをたべたらしあわせ, 鰻を食べたら幸せ
おもてなしのこえをかける, おもてなしの声をかける
うめぼしはとてもすきだよ, 梅干しはとても好きだよ
おこさまランチがもりつけされる, お子様ランチが盛り付けされる
うちのさかなはおいしい, 家の魚は美味しい
おみせでおかいものしたい, お店で買い物したい
うえきばちにかおをうつす, 植木鉢に顔を映す
おあついおちゃにはしちゃう, お熱いお茶にはしちゃう
うすやきのピザがあった, 薄焼きのピザがあった
おおいしさがやみつきになる, 美味しさが病みつきになる
うっとうしいお天気が続く, うっとうしいお天気が続く
おいしいとおもっています, 美味しいと思っています
うごくようすがたのしい, 動く様子が楽しい
おいしそうなおかしがいっぱい, 美味しそうなお菓子がいっぱい
うんどうかいにはおもいでがある, 運動会には思い出がある
おかねをためるためには, お金を貯めるためには
うたがうまくなったらいい, 歌が上手くなったらいい
おみやげにするつもり, お土産にするつもり
うえにあったひまわりがきれい, 上にあったひまわりが綺麗
おとこのこがいつもあそぶ場所, 男の子がいつも遊ぶ場所
うえにいくつかおもちゃをのせる, 上にいくつかおもちゃを乗せる
おろしやさんがきてた, 卸屋さんが来てた
うれしそうなあかちゃんがいる, 嬉しそうな赤ちゃんがいる
おいしいたい、まっているよ, 美味しいタイ、待っているよ
うちのいぬはとてもかわいい, 家の犬はとても可愛い
おおきなくりがたくさんある, 大きな栗がたくさんある
うえにかざるつもりです, 上に飾るつもりです
おちついてかんがえることができる, 落ち着いて考えることができる
うつろうじかんのなかで, 移ろう時間の中で
おにぎりをたべてからあそぶ, お握りを食べてから遊ぶ
うちのねこがかおをみせてきた, 家の猫が顔を見せてきた
おんがくをきいてすごすのがすき, 音楽を聞いて過ごすのが好き
うねうねとおよぐりくつ, うねうねと泳ぐ陸つ
おかしやひまわりをかわいい, お菓子やひまわりを可愛い
うひいのすきなおちょこです, うひいの好きなおちょこです
おおきなすてきなだから, お大きな素敵なだから
うごこうりしたときがたのしい, 動こうりした時が楽しい
おもいでをかざっていこう, 思い出を飾って行こう
うれしいとおもいながらつくる, 嬉しいと思いながら作る
おじょうずにあそんでるね, お上手に遊んでるね
うえにそびえてみえる 城, 上にそびえて見える城
おちりんのうえにかづをつける, 落ちりんの上にかづを付ける
うまくおかしをつくるなあ, 上手くお菓子を作るなあ
おんせんでしばらくあずましい, 温泉でしばらく安ましい
うかぶはなあかあかにほろび, 浮かぶ花赤あかに滅び
おいしいたいわがたべたかった, 美味しいたいは食べたかった
うつしものでふわふわ, 映し物でフワフワ
おとそがあけました, お年が明けました
うえにあるとてもきれい, 上にあるとても綺麗
おいしいみかんがあった, 美味しいみかんがあった
おおきなさんかくのいえがほしい, 大きな三角の家が欲しい
うさぎがにんじんをたべている, 兎が人参を食べている
おいしいそばをたべたいです, 美味しいそばを食べたいです
うたおうとしたが忘れてしまった, 歌おうとしたが忘れてしまった
おもちゃのくるまがよくうごく, おもちゃの車がよく動く
うえのほうがすきだといった, 上の方が好きだと言った
おもてのはながひらいてきた, 表の花が開いてきた
うんどうがすんだあとのさっぱり, 運動が済んだあとのさっぱり
おふろにはいってさっぱりする, お風呂に入ってさっぱりする
うつくしいばしょでねむりたい, 美しい場所で眠りたい
おばあちゃんがつくったおかし, お婆ちゃんが作ったお菓子
うみのさちをたべるのがだいすき, 海の幸を食べるのが大好き
おおきなまるいすいかがほしい, 大きな丸いスイカが欲しい
うわさをきいてわくわくしている, 噂を聞いてワクワクしている
おしゃべりをしていたら時間がたった, お喋りをしていたら時間が経った
うまいりょうりをはつめいする, 上手い料理を発明する
お知らせが来るのをまっている, お知らせが来るのを待っている
うつりかけのゆうひがきれい, 移りかけの夕日が綺麗
おおきなかぶをうえた, 大きな蕪を植えた
うみをみながらすごすひ, 海を見ながら過ごす日
おやすみのまえにねる, お休みの前に寝る
うわさがひろがっているようだ, 噂が広がっているようだ
おすすめのえいががある, おすすめの映画がある
うくものしろいかげがうつる, 雲の白い影が映る
おしろはみどりにかこまれている, お城は緑に囲まれている
うなぎをたべるとしあわせ, 鰻を食べると幸せ
おたんじょうびをみんなでいわう, お誕生日をみんなで祝う
ういたくにかけるのがすき, 魚を向いて飛びかけるのが好き
おじゃましますとのあいさつ, お邪魔しますとの挨拶
うらめんもたのしいです, 裏面も楽しいです
おふろのせんろをあらいます, お風呂の線路を洗います
うえきばちにおはながさきました, 植木鉢にお花が咲きました
おかあさんがあたたかい, お母さんが暖かい
うつしのせんさくがあいそう, 写しの洗濯があいそう
おみせではなをうらうつ, お店ではなを売らうつ
うえにあがるこうかもがのぞく, 上に上がる効果も覗く
おもいでをいとおしむ, 思い出を愛おしむ
うまれかわることをしんじている, 生まれ変わることを信じている
おかねをためてる, お金を貯めてる
うれしいかおをみている, 嬉しい顔を見ている
おみせでおかしをかう, お店でお菓子を買う
うつりかけのあさひがすき, 移りかけの朝日が好き
おにぎりにはさけをいれる, お握りに鮭を入れる
うるおいをかんじるこのけしき, 潤いを感じるこの景色
おおきなくりがみえてきた, 大きな栗が見えてきた
うつくしいゆうひがしずむ, 美しい夕日が沈む
おのうぎがあまりすきではない, お農業があまり好きではない
うえにのぼるのがすき, 上に登るのが好き
おそれずにでかける, 恐れずに出かける
うたをうたうのがたのしい, 歌を歌うのが楽しい
おもいをかたちにする, 思いを形にする
うえはいつもあかるい, 上はいつも明るい
おじゃましましたのあいさつがききたい, お邪魔しましたの挨拶が聞きたい
うちのつきあいがはじまった, 家の付き合いが始まった
おかしをつくってあそぶ, お菓子を作って遊ぶ
うえにはひつじがいる, 上には羊がいる
おみせのなかでかうものをさがす, お店の中で買うものを探す
うまれたこたちがあつまった, 生まれた子たちが集まった
おちついたきもちでいられる, 落ち着いた気持ちでいられる
うれしいよるにかいますか, 嬉しい夜に買いますか
おもいではたくさんしょうかみたい, 思い出はたくさん紹介みたい
うえにのったおもちゃをさがす, 上に乗ったおもちゃを探す
おやつをつくりたい, おやつを作りたい
うまがひるねしている, 馬が昼寝している
おつまみをたべる時間が好き, おつまみを食べる時間が好き
ううじのなかをたんけんする, おうじの中を探検する
おみずがさわやかにみえる, お水が爽やかに見える
うたってあそぶことがたのしい, 歌って遊ぶことが楽しい
おしるこがあたたかくておいしい, お汁粉が温かくて美味しい
うえのかたはあたたかいです, 上の方は暖かいです
おふろにはいったらきもちがよい, お風呂に入ったら気持ちが良い
うたのおかげでよろこびがうまれた, 歌のおかげで喜びが生まれた
おいしいみずをのむとほっとする, 美味しい水を飲むとホッとする
うすいふくをきるとさわやか, 薄い服を着ると爽やか
おもちゃであそんでいるとたのしい, おもちゃで遊んでいると楽しい
うみがおちついていてとてもきれい, 海が落ち着いていてとても綺麗
おおきなせんぷうきがまわっている, 大きな扇風機が回っている
うえからのぞいてみたい, 上から覗いてみたい
おみせのまえでまちあわせ, お店の前で待ち合わせ
うみのさちをかいにいこう, 海の幸を買いに行こう
おおきなあめがふってきた, 大きな雨が降ってきた
うきわをかかえてうみにはいりたい, 浮き輪を抱えて海に入りたい
おふろがとても気持ちいいです, お風呂がとても気持ちいいです
うれしいことをみんなでわかちあう, 嬉しいことをみんなで分かち合う
おとうさんがあたたかいえがお, お父さんが暖かい笑顔
うすいゆうひがしずんでいる, 薄い夕日が沈んでいる
おみやげは何をかってこよう, お土産は何を買ってこよう
うつくしいあさひがさしている, 美しい朝日が差している
おかねをためてりょこうする, お金を貯めて旅行する
うきわりっぷしたようにみえる, 浮き輪リップしたように見える
おおきなすいかをもってかえる, 大きなスイカを持って帰る
うさぎがかけあがるのがみたい, 兎が駆け上がるのが見たい
おいしいごはんをつくりたい, 美味しいご飯を作りたい
うたをうたうときがたのしい, 歌を歌うときが楽しい
おもいでをふりかえるのがすき, 思い出を振り返るのが好き
うにのかいがたのあいだをおよぐ, うにの海辺の間を泳ぐ
おかしをつくるためのざいりょう, お菓子を作るための材料
うえにあるはなをかざりたい, 上にある花を飾りたい
おもちゃがたくさんあるところ, おもちゃがたくさんあるところ
うれしいことがあったりする, 嬉しいことがあったりする
おみそをつかったりょうりがたべたい, お味噌を使った料理が食べたい
うたがうまくきこえるとしあわせ, 歌が上手く聞こえると幸せ
おかあさんのあたたかいこえ, お母さんの温かい声
うみであそぶときのたのしさ, 海で遊ぶときの楽しさ
おはなをかざるときのきもち, お花を飾るときの気持ち
うつくしいまちでじかんをすごす, 美しい街で時間を過ごす
おいしいおさかなをたべにいく, 美味しいお魚を食べに行く
うえでとぶとりをみるのがすき, 上で飛ぶ鳥を見るのが好き
おみせでかいものをするのはたのしい, お店で買い物をするのは楽しい
うらにあるみずうみがすき, 裏にある湖が好き
おふろにはいるときはあたたかい, お風呂に入るときは暖かい
うみをみているとリラックスする, 海を見ているとリラックスする
おさらのうえにあんこがのっています, お皿の上にあんこが載っています
うえきこのてんまつがきれい, 植木鉢の天満が綺麗
おもいでのなかのあのことがなつかしい, 思い出の中のあのことが懐かしい
ううしのすがたがみえる, 雲の姿が見える
おしゃべりするのがたのしい, お喋りするのが楽しい
うんてんしながらきょくをきく, 運転しながら曲を聞く
おたんじょうびをいわってくれる, お誕生日を祝ってくれる
うつくしいけしきがひろがっている, 美しい景色が広がっている
おみやげのがくしゃのほんがたのしい, お土産の楽者の本が楽しい
うたいながらほたるをみつける, 歌いながら蛍を見つける
おおきなかろんじゃがきらきらしている, 大きなカロンジャがキラキラしている
うずまきのあなにはいくのがこわい, うずまきの穴に行くのが怖い
おいしいがつくりたいの, 美味しいが作りたいの
うわさのとなりのふるさと, 噂の隣のふるさと
おじいちゃんがつくったくり, お爺ちゃんが作った栗
うたがきこえてくるのがすき, 歌が聞こえてくるのが好き
おふろにあたまをつけるのがめんどくさい, お風呂に頭をつけるのが面倒くさい
うまのあしがとうもろこしをたべている, 馬の足がとうもろこしを食べている
おおきなあさがおがさいた, 大きな朝顔が咲いた
うまののぐうばなをさわる, 馬の首輪を触る
おみずがつめたくておいしい, お水が冷たくて美味しい
うえのきがやさしいかんじ, 上の木が優しい感じ
おいしいかき氷がたべたい, 美味しいかき氷が食べたい
うらをながめる休日がすき, 裏を眺める休日が好き
おうちでのんびりしていたい, お家でのんびりしていたい
うたがきかせてくれるのがたのしい, 歌が聞かせてくれるのが楽しい
おまつりのときにあそびにいく, お祭りの時に遊びに行く
うすいぬのこたつにあたる, 薄い布の炬燵に当たる
おおきなせいざをきるとき, 大きな星座を切るとき
うたをきくのがしあわせ, 歌を聞くのが幸せ
おしるこにあんこがたっぷり, お汁粉にあんこがたっぷり
うるさいすずめがおおあばれ, うるさい雀が大暴れ
おろしやまでとおりすぎる, 卸屋まで通り過ぎる
うみのそこにひっそりつかっている, 海の底にひっそりつかっている
おかしきをかくのがたのしい, お菓子が書くのが楽しい
うえにかざってほしい, 上に飾って欲しい
おもいおもいのぜったいあまい, 思い思いの絶対甘い
おおきなくりがひろがっている, 大きな栗が広がっている
うみでうみねこのこえがきこえる, 海で海猫の声が聞こえる
おいしいぱんがやきあがった, 美味しいパンが焼き上がった
うつくしいふうけいをみたい, 美しい風景を見たい
おかあさんといっしょにあそぶ, お母さんと一緒に遊ぶ
うたごえがかすかにきこえる, 歌声がかすかに聞こえる
おみせでふうせんをかう, お店で風船を買う
うえのほうがすきだからかざる, 上の方が好きだから飾る
おもいでのなかのともだち, 思い出の中の友達
うれしいはなびがあがる, 嬉しい花火が上がる
おてがみをかいているところ, お手紙を書いているところ
うきわにのってみずにはいる, 浮き輪に乗って水に入る
おおきなとりがとんでいる, 大きな鳥が飛んでいる
うさぎがきゃんぱすにすわっている, 兎がキャンパスに座っている
おかしをつくるためにいそがしい, お菓子を作るために忙しい
うえにのぼってみてみたい, 上に登って見てみたい
おみやげにするためのかざり, お土産にするための飾り
うすいあかりがともっている, 薄い明かりが灯っている
おしゃべりがたのしすぎてやめられない, お喋りが楽しすぎてやめられない
うふふとわらうことがすき, うふふと笑うことが好き
おはなさんがさいている, お花さんが咲いている
うしろからそっとついていく, 後ろからそっとついていく
おまつりのたのしさをかんじる, お祭りの楽しさを感じる
うえからみるけしきがすき, 上から見る景色が好き
おーい、いっしょにあそぼうよ, おーい、一緒に遊ぼうよ
うよくはほんとうにおもしろい, 遊戯は本当に面白い
おおきさをくらべるとおもしろい, 大きさを比べると面白い
うみのかぜがきもちいい, 海の風が気持ちいい
おみせでいろいろなおかしをみる, お店でいろいろなお菓子を見る
うたうたいのこころをしる, 歌うたいの心を知る
おおきなぼうしをかぶったこ, 大きな帽子を被った子
うちゅうのかなたをみあげる, 宇宙の彼方を見上げる
おかしがわらわらとならぶ, お菓子がわらわらと並ぶ
うろこがきれいにあらわれる, 鱗が綺麗に現れる
おともだちにあったひがたのしい, お友達に会った日が楽しい
うつくしいはるにさくはな, 美しい春に咲く花
おばあちゃんといっしょにでかける, お婆ちゃんと一緒に出かける
うえみてあかいひにおおうみみる, 上見て赤い日に大海見る
おまつりのかんじがすき, お祭りの感じが好き
うねりながらあそぶのがたのしい, うねりながら遊ぶのが楽しい
おうちでのんびりすごすのがすき, お家でのんびり過ごすのが好き
うたごえをきいているととてもいやされる, 歌声を聞いているととても癒される
おかしとおちゃをたのしむひととき, お菓子とお茶を楽しむひととき
うすみどりいろのふるいやまみち, 薄緑色の古い山道
おみせでみるあきのかざり, お店で見る秋の飾り
うたをきいてよろこぶ, 歌を聞いて喜ぶ
おかしをつくるためにあつまる, お菓子を作るために集まる
うみのにおいがするとうれしい, 海の匂いがすると嬉しい
おてがみをかくのがたのしい, お手紙を書くのが楽しい
うえでものをつくるひとがいる, 上でものを作る人がいる
おおきなすいかをうえる, 大きなスイカを植える
うすいかみがふくのにともなう, 薄い紙が吹くのに伴う
おはなをいけるとおちつく, お花を生けると落ち着く
うきをたのしんでつもるゆき, 浮きを楽しんで積もる雪
おやつをたべるこどもたち, おやつを食べる子供たち
うえにみえるあさがすき, 上に見える朝が好き
おみやげにたべものをもってくる, お土産に食べ物を持ってくる
うちのまえをとおりすぎる, 家の前を通り過ぎる
おおきなぶどうをかごにいれる, 大きな葡萄を籠に入れる
うえきはいつもみどり, 植木はいつも緑
おもいでにひたるようにかいものをする, 思い出に浸るように買い物をする
おおきなにんぎょうがかざってある, 大きな人形が飾ってある
うみであそぶことがだいすき, 海で遊ぶことが大好き
おいしいチーズがのったぴざ, 美味しいチーズがのったピザ
うらにあるやまがきれい, 裏にある山が綺麗
おはながさいているこうえん, 花が咲いている公園
うつわにおいしそうなりょうり, 器に美味しそうな料理
おかあさんといっしょにいくと楽しい, お母さんと一緒に行くと楽しい
うたをききながらゆったりすごす, 歌を聞きながらゆったり過ごす
おみやげにするためのあんこ, お土産にするためのあんこ
うえにけしきがひろがる, 上に景色が広がる
おもいでをかたりあうのがたのしい, 思い出を語り合うのが楽しい
うろこのはたらきをかんじる, 鱗の働きを感じる
おきにいりのぶんぶんごま, お気に入りのブンブンゴマ
うえのほうでかがやくつき, 上の方で輝く月
おもちゃのくるまとあそぶ, おもちゃの車と遊ぶ
うたごえがとおくからきこえる, 歌声が遠くから聞こえる
おみせでのあたらしいかばん, お店での新しいカバン
うしろからそっとささやく, 後ろからそっと囁く
おまつりがのこしたおもいで, お祭りが残した思い出
うえにかさがかかっている, 上に傘がかかっている
おいしいすいかをたべる, 美味しいスイカを食べる
うけありがふかいちちにみえる, 受け取りが深い父に見える
おさかながきれいにおよいでいる, 魚が綺麗に泳いでいる
うちゅうのえいせいがきれい, 宇宙の衛星が綺麗
おおきなあいすくりーむをたべる, 大きなアイスクリームを食べる
うみのそばでのんびりする, 海のそばでのんびりする
おとこのこがあそんでいる, 男の子が遊んでいる
うたがとてもきれい, 歌がとても綺麗
おうちにかえったときのあたたかさ, お家に帰った時の温かさ
うすあかりにかくれたもの, 薄明かりに隠れたもの
おじいちゃんといっしょにでかける, おじいちゃんと一緒に出かける
うたごえがひびくこのば, 歌声が響くこの場
うえをみあげるとほしがきらきら, 上を見上げると星がキラキラ
おかしをたべるときのうれしさ, お菓子を食べるときの嬉しさ
うねりのあるかぜがふく, うねりのある風が吹く
おまつりでつくったけれどわすれた, お祭りで作ったけれど忘れた
うごくしぜんのなかでいきる, 動く自然の中で生きる
おおきなやまがみえるからうれしい, 大きな山が見えるから嬉しい
うたをうたうとこころがうきたつ, 歌を歌うと心が浮き立つ
おそとであそぶときのたのしさ, 外で遊ぶときの楽しさ
うみのあさやけはとてもきれい, 海の朝焼けはとても綺麗
おかしをつくってあそぶのがすき, お菓子を作って遊ぶのが好き
うえにあるせかいがみたい, 上にある世界が見たい
おふろに入ってあたたまる, お風呂に入って温まる
うらのせんせいがとてもやさしい, 裏の先生がとても優しい
おみやげをもってかえろうとする, お土産を持って帰ろうとする
うごくすがたをみるとわくわくする, 動く姿を見るとワクワクする
おおきなねこがちかくにいる, 大きな猫が近くにいる
うらがわからみるとまたちがう, 裏側から見るとまた違う
おみせのちゅうしんでかざられている, お店の中心で飾られている
うえのほうからふってくるゆき, 上の方から降ってくる雪
おさかなをさがしてうみであそぶ, 魚を探して海で遊ぶ
うすいももいろのさくらがさいている, 薄い桃色の桜が咲いている
おもいでのあたたかいかおり, 思い出の温かい香り
うたをうたうとしあわせをかんじる, 歌を歌うと幸せを感じる
